match,age,field_cd,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
0,1.500625446,1.951279235,1.171173226,2.737422689,0.797081025,1.538617083,2.32846117,1.319212264,3.552508858,2.468396763,0.14773715,1.169340468,0.271271252,1.717919336,2.444272397,2.025766672,0.975158916,1.259395655,0.487180318,0.543002687,0.424086559,1.629640792,0.954251048,0.373187975,0.111635694,0.923814679
0,0.682860253,1.951279235,0.218227329,2.737422689,1.474517396,1.538617083,1.915372312,1.944464735,0.117445526,0.03750018,0.92957616,0.467265883,1.501030782,0.310630251,0.7637113,1.744085185,0.305920511,0.230519904,0.110898286,1.562010941,0.424086559,0.885715895,3.138080049,1.785320523,0.111635694,1.549655122
0,0.410271856,1.693921134,1.607627885,2.737422689,1.474517396,0.749834046,1.915372312,0.693959792,1.455392067,0.523679497,1.025021366,0.058114295,0.271271252,1.21078194,2.043274435,0.801622221,0.946460225,0.230519904,1.9051341,0.543002687,1.804088763,0.141790997,0.226308048,0.373187975,1.077685932,1.542182129
0,0.955448651,1.951279235,0.218227329,2.737422689,2.23171687,1.920025604,1.502283454,0.068707321,0.931112869,0.448679136,0.634101861,0.467265883,1.091110939,1.21078194,1.642276473,1.744085185,0.946460225,0.266118616,0.708976891,2.404016393,2.175451317,0.885715895,0.954251048,1.079254249,0.854414544,1.542182129
0,1.500625446,1.951279235,0.912927607,2.737422689,0.039881552,0.77580004,1.915372312,0.068707321,0.931112869,0.934858453,0.243182356,0.876417471,1.501030782,1.717919336,2.043274435,0.330390739,1.586999938,2.217073983,0.708976891,0.543002687,0.318638549,1.629640792,4.59396605,1.038944573,2.04373617,1.542182129
0,0.955448651,1.951279235,1.607627885,2.737422689,1.175680762,0.749834046,2.741550029,0.068707321,0.117445526,0.448679136,1.415940871,0.76018888,0.681191095,0.196507146,0.362713338,0.140840744,1.586999938,0.727158424,2.503212705,2.404016393,0.424086559,2.37356569,1.682194048,0.373187975,1.077685932,0.312920222
0,1.228037049,1.951279235,0.218227329,2.737422689,0.717317922,1.157208561,0.676105737,1.944464735,1.166003922,1.907217086,1.320495665,0.351037293,1.501030782,0.703644543,2.043274435,2.215316667,0.975158916,1.259395655,1.085258923,1.385008139,2.918176424,1.629640792,2.410137049,1.745010847,0.854414544,0.923814679
0,0.410271856,1.137017978,0.218227329,2.737422689,1.853117133,1.538617083,0.563160838,1.944464735,0.641724724,1.42103777,0.92957616,0.76018888,2.320870469,0.703644543,2.84527036,1.744085185,0.334619203,0.727158424,1.307055495,0.543002687,1.43272621,0.885715895,3.86602305,0.373187975,0.111635694,1.542182129
0,0.137683458,1.137017978,0.912927607,2.737422689,1.095917659,1.157208561,0.563160838,0.693959792,0.931112869,0.448679136,1.320495665,0.76018888,2.320870469,0.703644543,2.043274435,2.215316667,0.975158916,0.762757135,0.487180318,0.543002687,0.318638549,0.885715895,2.410137049,1.785320523,0.854414544,0.923814679
0,0.137683458,1.137017978,0.476472948,2.737422689,0.797081025,1.131242568,2.741550029,0.068707321,0.931112869,0.03750018,0.634101861,1.169340468,1.091110939,0.703644543,0.840280549,0.330390739,0.946460225,0.230519904,0.110898286,0.121999962,1.804088763,1.629640792,0.954251048,1.785320523,1.820464781,2.160549579
0,0.04629438,0.038772556,4.002707936,0.03827108,0.386947653,1.538617083,0.614569448,0.235475093,3.552508858,2.898997567,0.627768987,0.423407184,0.121546809,0.238687265,0.845615838,2.025766672,1.554580453,1.259395655,0.053443317,0.543002687,1.97210418,2.331900855,0.954251048,0.8085271,1.676149541,1.149406598
